0 length 15278;
180 note 59 101;
1555 note 60 46;
1592 note 59 0;
2352 note 62 28;
3048 note 63 21;
3059 note 60 0;
3082 note 62 0;
3094 note 59 37;
3174 note 63 0;
4469 note 60 54;
4514 note 59 0;
5234 note 62 66;
5259 note 60 0;
5895 note 63 12;
5939 note 62 0;
6008 note 59 31;
6021 note 63 0;
7291 note 60 5;
7379 note 59 0;
8106 note 62 45;
8151 note 60 0;
8780 note 63 14;
8823 note 62 0;
8880 note 63 0;
8886 note 59 18;
10162 note 60 14;
10166 note 59 0;
10959 note 62 44;
11011 note 60 0;
11585 note 63 11;
11634 note 62 0;
11682 note 59 30;
11745 note 63 0;
13095 note 60 36;
13133 note 59 0;
13874 note 62 31;
13919 note 60 0;
14438 note 63 2;
14504 note 62 0;
14560 note 59 1;
14587 note 63 0;
14895 note 59 0;
