0 length 6936;
116 note 65 127;
116 note 68 103;
124 note 72 19;
166 note 72 0;
180 note 65 0;
185 note 68 0;
494 note 68 123;
496 note 65 119;
496 note 72 71;
538 note 65 0;
545 note 72 0;
551 note 68 0;
844 note 68 23;
845 note 72 28;
850 note 65 127;
898 note 72 0;
904 note 68 0;
911 note 65 0;
1105 note 71 24;
1110 note 64 103;
1110 note 66 113;
1644 note 71 0;
1668 note 64 0;
1680 note 66 0;
2261 note 64 82;
2261 note 66 127;
2265 note 71 15;
2310 note 71 0;
2319 note 64 0;
2331 note 66 0;
2627 note 66 80;
2628 note 64 71;
2637 note 71 7;
2671 note 64 0;
2675 note 71 0;
2679 note 66 0;
2965 note 66 51;
2968 note 64 32;
2973 note 71 15;
3048 note 71 0;
3056 note 66 0;
3068 note 64 0;
3246 note 65 113;
3248 note 62 127;
3252 note 71 7;
3404 note 65 0;
3409 note 71 0;
3411 note 62 0;
3620 note 65 96;
3622 note 62 127;
3639 note 71 1;
3666 note 71 0;
3710 note 62 0;
3711 note 65 0;
3941 note 65 89;
3947 note 62 127;
4027 note 62 0;
4038 note 65 0;
4221 note 60 108;
4221 note 64 122;
4225 note 71 9;
4341 note 60 0;
4349 note 64 0;
4351 note 71 0;
4593 note 64 91;
4593 note 71 19;
4596 note 60 106;
4677 note 60 0;
4683 note 64 0;
4684 note 71 0;
4917 note 71 19;
4920 note 64 89;
4922 note 60 127;
5005 note 64 0;
5007 note 71 0;
5014 note 60 0;
5175 note 60 127;
5177 note 62 122;
5177 note 69 7;
5923 note 60 0;
5931 note 62 0;
5936 note 69 0;
